name,amenity,lat,lon
Cafe Cool,fast_food,37.4330232,-122.1710149
CVS Pharmacy,pharmacy,37.4385084,-122.15863
Peet's Coffee,cafe,37.4380578,-122.1592693
Palo Alto Transit Center,bus_station,37.4440021,-122.1663176
Nola's,restaurant,37.4450744,-122.1615566
Telefèric Barcelona,restaurant,37.4383076,-122.1583665
Douce France,cafe,37.438945,-122.1588623
Fisher Conference Center,events_venue,37.431153,-122.164749
Alumni Café,cafe,37.4308433,-122.1646839
Mamahuhu,fast_food,37.4380184,-122.1593744
Chase,atm,37.4450933,-122.160102
NY Pizza,restaurant,37.44551,-122.1601391
The UPS Store,post_office,37.4385427,-122.1603401
Peet's Coffee,cafe,37.4419694,-122.1596908
Asian Box,fast_food,37.4387259,-122.1598407
Jamba,fast_food,37.4387449,-122.159604
Howie's Artisan Pizza,restaurant,37.4379709,-122.1601367
Chase,bank,37.4379341,-122.1596244
P.F. Chang's,restaurant,37.4437089,-122.168094
Palo Alto Police Department,police,37.4440922,-122.1595487
World Wrapps,fast_food,37.4425684,-122.170591
Gourmet Franks,fast_food,37.442709,-122.1711047
McDonald's,fast_food,37.4426808,-122.1704739
Pressed Juicery,fast_food,37.4423649,-122.170926
Chipotle,fast_food,37.4443621,-122.1708189
Lulu's,fast_food,37.4383001,-122.1603352
Sushi House,restaurant,37.4391591,-122.1582567
The Penny Ice Creamery,ice_cream,37.4386882,-122.15897
Curry Up Now,restaurant,37.445468,-122.160189
Philz Coffee,cafe,37.4420679,-122.1615393
California Pizza Kitchen,restaurant,37.4433563,-122.172257
The Melt,fast_food,37.4430318,-122.172699
Pampas,restaurant,37.4429817,-122.162906
Lathrop Tech Lounge,computer_lab,37.4295195,-122.1674625
Palo Alto Caltrain Bike Lockers,bicycle_parking,37.4440921,-122.165427
Palo Alto Farmer's Market,marketplace,37.4453603,-122.1590277
Citibank,bank,37.4450309,-122.1615665
Robin Li and Melissa Ma Science Library,library,37.430686,-122.1714235
McCaw Hall,events_venue,37.4302819,-122.1649582
Gott's Roadside,fast_food,37.4378837,-122.1598878
Oren’s Hummus Express,fast_food,37.4391096,-122.15815
Poké House,fast_food,37.438485,-122.1605434
Citibank,bank,37.4451571,-122.1615787
NM Cafe,cafe,37.4412593,-122.1726175
Ike's Press,fast_food,37.4324544,-122.1717798
Blend Eatery,restaurant,37.430451,-122.1724507
True Food Kitchen,restaurant,37.4439065,-122.170283
Pinkberry,ice_cream,37.444326,-122.170778
Joe & The Juice,cafe,37.4428703,-122.1706909
Rabbit Rabbit Cream,ice_cream,37.443581,-122.171838
Cantor Cafe,cafe,37.4326574,-122.1712381
New York New York Sandwiches,fast_food,37.4439738,-122.1637252
Shake Shack,fast_food,37.4436354,-122.168519
Tender Greens,fast_food,37.4433407,-122.17044
Stanford Institute for Economic Policy Research,college,37.4291823,-122.1655078
Hoover Pharmacy,pharmacy,37.4414742,-122.1688125
Palo Alto Unified School District Corporation Yard,fuel,37.4362513,-122.1547428
Doctor Stephen Los,dentist,37.4431096,-122.1575243
"Norman Dishotsky, M.D.",doctors,37.4430621,-122.1575702
Heritage Park Dental,dentist,37.4430891,-122.1575453
Jewish Family and Children's Services,social_facility,37.441643,-122.1575425
ChargePoint,charging_station,37.43858,-122.1573922
Currency Exchange International,bureau_de_change,37.4443324,-122.1714626
Taro San,restaurant,37.4427772,-122.172685
Boba Guys,cafe,37.4386082,-122.1589506
Wild Seed,restaurant,37.4382331,-122.1587493
Boichik Bagels,fast_food,37.4383169,-122.1588544
Roost & Roast,fast_food,37.4391275,-122.1581858
Palmetto Superfoods,fast_food,37.4391428,-122.1582171
Illuminate Plastic Surgery,doctors,37.4400608,-122.158238
Pacific Art League,arts_centre,37.4437974,-122.160068
The Wine Room,bar,37.4449344,-122.1618576
Blue Bottle Coffee,cafe,37.4447233,-122.171367
Go Fish Poke Bar,fast_food,37.4427514,-122.1705555
Zero&,cafe,37.4427501,-122.1710628
Wetzel's Pretzels,fast_food,37.4425646,-122.171033
